CustomerID	TProd	DProd	MeanProdOrder	TSale	MinPSale	MaxPSale	MeanSaleOrder	TRProd	MeanPSale	TOrder	SETSaleQta	SESaleQtaOrder	MeanTimeGap	MaxOrderMonth	MaxOrderDay	Label
17850	1702	21	48.629	5317.89	6.36	107.25	151.94	31	3.96	34	4.137	3.186	2.088	Dec	Thu	Low_Spend
13047	1355	105	84.688	3089.1	6.64	68.0	193.069	35	3.926	9	5.421	3.875	21.8	Aug	Wed	Low_Spend
12583	4978	114	292.824	6629.34	6.8	132.8	389.961	50	2.14	15	5.804	4.087	23.188	Sep	Fri	Med_Spend
13748	439	24	87.8	948.25	9.36	204.0	189.65	0	3.996	5	4.08	2.322	69.5	Apr	Mon	Low_Spend
15100	58	1	9.667	635.1	175.2	350.4	105.85	22	10.95	3	2.252	2.252	8.6	Dec	Wed	Low_Spend
15291	2096	61	123.294	4604.9	9.95	243.36	270.876	6	4.702	14	5.488	4.087	21.75	Jan	Mon	Low_Spend
14688	3226	148	119.481	5099.58	0.19	153.0	188.873	358	2.136	21	6.703	4.755	14.077	Jan	Tue	Low_Spend
17809	2017	46	155.154	5345.91	0.95	425.0	411.224	40	2.906	12	5.632	3.7	29.75	Nov	Fri	Med_Spend
15311	37688	567	319.39	59344.12	0.21	408.0	502.916	459	2.51	91	7.023	6.849	3.188	Dec	Tue	Med_Spend
14527	2082	329	24.082	7788.69	0.39	87.6	91.632	4	5.865	55	6.335	6.386	4.417	Dec	Wed	Low_Spend
16098	613	34	87.571	2005.63	3.75	178.2	286.519	0	4.425	7	4.928	2.807	47.667	Feb	Tue	Low_Spend
18074	190	13	190.0	489.6	15.8	102.0	489.6	0	4.781	1	3.547	0.0	0.0	Dec	Wed	Med_Spend
17420	265	28	88.333	598.83	12.48	39.6	199.61	0	3.881	3	3.279	1.585	161.5	Jun	Tue	Low_Spend
16029	33687	43	467.139	60177.89	30.6	2256.0	835.804	6420	3.092	62	5.794	6.031	4.718	Sep	Tue	High_Spend
16250	208	22	104.0	389.44	5.04	27.0	194.72	0	3.088	2	3.887	1.0	112.0	Mar	Wed	Low_Spend
12431	2839	162	157.722	6243.89	5.04	601.44	346.883	50	3.676	15	5.769	4.17	19.882	Jul	Thu	Low_Spend
17511	63048	453	1401.067	88239.54	1.17	745.0	1960.879	1501	2.307	31	6.922	5.492	8.432	Dec	Wed	High_Spend
13705	363	25	121.0	711.86	7.8	165.0	237.287	0	7.609	3	3.207	1.585	183.0	Dec	Mon	Low_Spend
13747	8	1	8.0	79.6	79.6	79.6	79.6	0	9.95	1	0.0	0.0	0.0	Dec	Wed	Low_Spend
13408	16131	234	206.718	27563.84	0.39	306.0	353.383	101	3.116	62	6.503	6.26	4.831	Nov	Wed	Med_Spend
13767	7258	55	139.577	16945.71	10.08	532.8	325.879	64	3.714	37	5.489	5.571	7.275	Dec	Tue	Low_Spend
17924	1151	26	115.1	2921.55	21.0	367.2	292.155	9	3.246	7	4.536	3.322	40.222	Oct	Mon	Low_Spend
13448	1626	137	162.6	3460.99	0.85	60.0	346.099	22	3.197	6	5.955	3.322	39.667	Dec	Wed	Low_Spend
15862	585	142	146.25	832.88	0.42	40.56	208.22	0	2.738	4	5.661	2.0	121.667	Dec	Thu	Low_Spend
15513	5545	183	252.045	14520.08	5.04	267.6	660.004	164	4.107	19	6.099	4.459	16.286	May	Thu	Med_Spend
12791	96	1	96.0	177.6	177.6	177.6	177.6	0	1.85	1	0.0	0.0	0.0	Dec	Wed	Low_Spend
16218	2077	56	259.625	3054.87	10.2	116.0	381.859	11	1.671	7	4.686	3.0	49.143	May	Tue	Med_Spend
14045	535	4	133.75	1659.75	132.0	408.0	414.938	0	4.233	4	2.585	2.0	88.0	Jan	Thu	Low_Spend
14307	2058	150	343.0	2995.72	5.04	50.85	499.287	0	2.486	6	5.147	2.585	57.0	Sep	Wed	Med_Spend
17908	169	51	169.0	232.03	0.42	19.05	232.03	0	2.662	1	4.558	0.0	0.0	Dec	Wed	Low_Spend
17920	2471	406	145.353	4107.6	0.12	76.5	241.624	0	2.346	17	6.472	4.087	23.062	Nov	Mon	Low_Spend
12838	355	115	177.5	671.95	0.42	35.4	335.975	0	2.305	2	5.668	1.0	340.0	Nov	Wed	Low_Spend
13255	174	13	58.0	390.66	14.95	90.0	130.22	3	4.96	2	3.664	1.585	185.0	Dec	Wed	Low_Spend
16583	111	14	111.0	233.45	14.85	20.4	233.45	0	2.564	1	2.496	0.0	0.0	Dec	Wed	Low_Spend
18085	265	25	132.5	689.95	7.8	79.2	344.975	0	2.845	2	3.646	1.0	43.0	Jan	Wed	Low_Spend
13758	1844	104	263.429	3190.55	0.42	102.0	455.793	0	3.288	7	5.562	2.807	60.333	Nov	Wed	Med_Spend
13694	61968	366	1050.271	62820.14	2.32	622.5	1064.748	1344	1.997	50	7.133	5.883	6.379	May	Tue	High_Spend
15983	886	82	221.5	1465.12	0.84	91.8	366.28	0	2.105	4	5.291	2.0	117.0	Dec	Thu	Med_Spend
14849	5656	159	202.0	7904.28	5.04	175.2	282.296	38	2.44	25	5.446	4.807	13.037	Nov	Thu	Low_Spend
17968	151	74	151.0	265.1	0.29	13.52	265.1	0	1.926	1	4.612	0.0	0.0	Dec	Wed	Low_Spend
16210	7558	73	444.588	21076.3	6.72	3254.4	1239.782	0	3.706	17	5.473	4.087	23.25	Dec	Wed	High_Spend
17897	216	100	54.0	516.31	0.42	79.9	129.077	6	3.086	3	5.227	2.0	67.0	Dec	Wed	Low_Spend
17377	2038	190	101.9	4058.32	0.55	153.0	202.916	0	2.63	20	6.037	4.322	18.421	Nov	Mon	Low_Spend
16552	219	17	109.5	379.73	10.2	91.8	189.865	0	4.11	2	3.052	1.0	131.0	Apr	Mon	Low_Spend
17181	241	23	120.5	239.92	1.25	79.2	119.96	0	3.04	2	3.208	1.0	316.0	Oct	Wed	Low_Spend
17951	610	18	152.5	990.84	6.96	177.6	247.71	6	2.208	3	3.726	2.0	111.333	Dec	Mon	Low_Spend
14729	197	69	197.0	313.49	0.65	19.8	313.49	0	2.159	1	4.842	0.0	0.0	Dec	Wed	Low_Spend
12748	23619	1766	109.856	30005.29	0.06	528.0	139.559	1432	2.38	206	6.895	7.698	1.743	Nov	Fri	Low_Spend
15012	225	110	112.5	405.04	0.39	12.75	202.52	0	2.595	2	4.887	1.0	320.0	Oct	Mon	Low_Spend
12868	928	72	154.667	1607.06	3.12	31.6	267.843	0	2.612	6	4.2	2.585	37.6	Jan	Wed	Low_Spend
17572	95	7	23.75	226.75	13.05	26.1	56.688	0	3.158	4	1.418	2.0	100.667	Sep	Thu	Low_Spend
14078	310	46	51.667	1049.37	0.83	158.75	174.895	0	2.68	6	5.14	2.585	54.4	Feb	Wed	Low_Spend
14001	962	34	320.667	2043.08	15.0	179.0	681.027	0	3.536	3	4.434	1.585	164.0	Apr	Tue	Med_Spend
12662	2023	128	168.583	3511.08	6.8	41.6	292.59	18	2.534	11	5.113	3.585	33.909	Feb	Tue	Low_Spend
15525	383	132	95.75	716.97	0.29	29.85	179.243	2	2.621	3	5.626	2.0	123.667	Dec	Wed	Low_Spend
14237	38	9	38.0	161.0	10.2	33.9	161.0	0	7.122	1	2.725	0.0	0.0	Dec	Wed	Low_Spend
17905	406	33	101.5	798.99	1.25	181.25	199.748	0	3.871	4	4.802	2.0	100.667	Dec	Wed	Low_Spend
15485	1281	59	427.0	2564.5	1.25	204.0	854.833	0	3.214	3	4.049	1.585	171.5	Jan	Wed	Med_Spend
12433	11071	219	1581.571	13375.87	2.88	203.52	1910.839	0	2.193	7	6.138	2.807	62.167	Dec	Wed	High_Spend
16955	246	18	49.2	493.67	10.4	50.85	98.734	20	4.198	4	3.902	2.322	47.25	Dec	Wed	Low_Spend
15350	51	5	51.0	115.65	14.85	25.2	115.65	0	2.67	1	0.722	0.0	0.0	Dec	Wed	Low_Spend
15605	441	61	88.2	1198.23	10.08	50.4	239.646	0	4.588	5	4.5	2.322	84.25	Feb	Wed	Low_Spend
18144	1343	27	111.917	2888.75	7.5	232.0	240.729	0	4.43	12	4.545	3.585	33.273	Dec	Tue	Low_Spend
