	CustomerID	TProd	DProd	MaxPO	MinPO	MeanProdOrder	TSale	TSaleWRet	MinPSale	MaxPSale	MeanSaleOrder	TRProd	MeanPSale	TOrder	OrderMonth	ProdMonth	SaleMonth	SETSaleQta	SESaleQtaOrder	SEShoppingDays	MonthPresence	MeanTimeGap	MaxOrderMonth	MaxOrderDay
0	17850	1702	21	141	12	48.629	5317.89	5391.21	6.36	107.25	151.94	31	3.96	34	2.833	141.833	443.158	4.137	3.186	1.0	0.167	2.088	Dec	Thu
1	13047	1355	105	309	3	84.688	3089.1	3232.59	6.64	68.0	193.069	35	3.926	9	0.75	112.917	257.425	5.421	3.875	2.322	0.75	21.8	Aug	Wed
2	12583	4978	114	714	100	292.824	6629.34	6705.38	6.8	132.8	389.961	50	2.14	15	1.25	414.833	552.445	5.804	4.087	2.585	1.0	23.188	Sep	Fri
3	13748	439	24	208	8	87.8	948.25	948.25	9.36	204.0	189.65	0	3.996	5	0.417	36.583	79.021	4.08	2.322	1.585	0.25	69.5	Apr	Mon
4	15100	58	1	32	16	9.667	635.1	876.0	175.2	350.4	105.85	22	10.95	3	0.25	4.833	52.925	2.252	2.252	2.0	0.167	8.6	Dec	Wed
5	15291	2096	61	366	46	123.294	4604.9	4623.3	9.95	243.36	270.876	6	4.702	14	1.167	174.667	383.742	5.488	4.087	2.585	0.583	21.75	Jan	Mon
6	14688	3226	148	454	46	119.481	5099.58	5579.1	0.19	153.0	188.873	358	2.136	21	1.75	268.833	424.965	6.703	4.755	2.322	1.0	14.077	Jan	Tue
7	17809	2017	46	1046	24	155.154	5345.91	5411.91	0.95	425.0	411.224	40	2.906	12	1.0	168.083	445.493	5.632	3.7	2.0	0.667	29.75	Nov	Fri
8	15311	37688	567	2683	12	319.39	59344.12	60632.75	0.21	408.0	502.916	459	2.51	91	7.583	3140.667	4945.343	7.023	6.849	2.585	1.083	3.188	Dec	Tue
9	14527	2082	329	96	1	24.082	7788.69	7817.29	0.39	87.6	91.632	4	5.865	55	4.583	173.5	649.057	6.335	6.386	2.585	1.083	4.417	Dec	Wed
10	16098	613	34	134	56	87.571	2005.63	2005.63	3.75	178.2	286.519	0	4.425	7	0.583	51.083	167.136	4.928	2.807	1.585	0.583	47.667	Feb	Tue
11	18074	190	13	190	190	190.0	489.6	489.6	15.8	102.0	489.6	0	4.781	1	0.083	15.833	40.8	3.547	0.0	0.0	0.083	0.0	Dec	Wed
12	17420	265	28	116	53	88.333	598.83	598.83	12.48	39.6	199.61	0	3.881	3	0.25	22.083	49.903	3.279	1.585	1.585	0.25	161.5	Jun	Tue
13	16029	33687	43	4800	24	467.139	60177.89	72516.05	30.6	2256.0	835.804	6420	3.092	62	5.167	2807.25	5014.824	5.794	6.031	2.322	1.0	4.718	Sep	Tue
14	16250	208	22	108	100	104.0	389.44	389.44	5.04	27.0	194.72	0	3.088	2	0.167	17.333	32.453	3.887	1.0	0.0	0.167	112.0	Mar	Wed
15	12431	2839	162	374	28	157.722	6243.89	6314.95	5.04	601.44	346.883	50	3.676	15	1.25	236.583	520.324	5.769	4.17	2.585	0.75	19.882	Jul	Thu
16	17511	63048	453	4675	20	1401.067	88239.54	91062.38	1.17	745.0	1960.879	1501	2.307	31	2.583	5254.0	7353.295	6.922	5.492	2.322	1.083	8.432	Dec	Wed
17	13705	363	25	134	103	121.0	711.86	711.86	7.8	165.0	237.287	0	7.609	3	0.25	30.25	59.322	3.207	1.585	1.585	0.25	183.0	Dec	Mon
18	13747	8	1	8	8	8.0	79.6	79.6	79.6	79.6	79.6	0	9.95	1	0.083	0.667	6.633	0.0	0.0	0.0	0.083	0.0	Dec	Wed
19	13408	16131	234	662	4	206.718	27563.84	27771.65	0.39	306.0	353.383	101	3.116	62	5.167	1344.25	2296.987	6.503	6.26	2.585	1.083	4.831	Nov	Wed
20	13767	7258	55	902	4	139.577	16945.71	17220.36	10.08	532.8	325.879	64	3.714	37	3.083	604.833	1412.143	5.489	5.571	2.585	1.083	7.275	Dec	Tue
21	17924	1151	26	552	48	115.1	2921.55	2962.5	21.0	367.2	292.155	9	3.246	7	0.583	95.917	243.462	4.536	3.322	2.0	0.333	40.222	Oct	Mon
22	13448	1626	137	476	12	162.6	3460.99	3534.69	0.85	60.0	346.099	22	3.197	6	0.5	135.5	288.416	5.955	3.322	2.322	0.333	39.667	Dec	Wed
23	15862	585	142	235	86	146.25	832.88	832.88	0.42	40.56	208.22	0	2.738	4	0.333	48.75	69.407	5.661	2.0	1.585	0.333	121.667	Dec	Thu
24	15513	5545	183	861	10	252.045	14520.08	14758.22	5.04	267.6	660.004	164	4.107	19	1.583	462.083	1210.007	6.099	4.459	2.585	0.917	16.286	May	Thu
25	12791	96	1	96	96	96.0	177.6	177.6	177.6	177.6	177.6	0	1.85	1	0.083	8.0	14.8	0.0	0.0	0.0	0.083	0.0	Dec	Wed
26	16218	2077	56	572	80	259.625	3054.87	3084.68	10.2	116.0	381.859	11	1.671	7	0.583	173.083	254.573	4.686	3.0	2.0	0.583	49.143	May	Tue
27	14045	535	4	212	48	133.75	1659.75	1659.75	132.0	408.0	414.938	0	4.233	4	0.333	44.583	138.312	2.585	2.0	1.585	0.25	88.0	Jan	Thu
28	14307	2058	150	558	24	343.0	2995.72	2995.72	5.04	50.85	499.287	0	2.486	6	0.5	171.5	249.643	5.147	2.585	1.585	0.417	57.0	Sep	Wed
29	17908	169	51	169	169	169.0	232.03	232.03	0.42	19.05	232.03	0	2.662	1	0.083	14.083	19.336	4.558	0.0	0.0	0.083	0.0	Dec	Wed
30	17920	2471	406	560	22	145.353	4107.6	4107.6	0.12	76.5	241.624	0	2.346	17	1.417	205.917	342.3	6.472	4.087	2.585	0.833	23.062	Nov	Mon
31	12838	355	115	228	127	177.5	671.95	671.95	0.42	35.4	335.975	0	2.305	2	0.167	29.583	55.996	5.668	1.0	1.0	0.167	340.0	Nov	Wed
32	13255	174	13	110	67	58.0	390.66	399.51	14.95	90.0	130.22	3	4.96	2	0.167	14.5	32.555	3.664	1.585	1.0	0.25	185.0	Dec	Wed
33	16583	111	14	111	111	111.0	233.45	233.45	14.85	20.4	233.45	0	2.564	1	0.083	9.25	19.454	2.496	0.0	0.0	0.083	0.0	Dec	Wed
